ArticleCode;TrueDemandSegment;TrueProfile;Color;Category;Brand;Price;Demand01;Demand02;Demand03;Demand04;Demand05;Demand06;Demand07;Demand08;Demand09;Demand10;Demand11;Demand12;Demand13;Demand14;Demand15;Demand16;Demand17;Demand18;TotalDemand
1;1;1;Black;Accessories;Octozzy ;10.2;2;3;3;3;3;3;3;5;4;5;9;4;6;6;9;11;10;6;95
2;2;1;White;Sound;Outise ;10.8;5;3;5;5;4;6;5;6;2;8;9;10;13;9;17;17;12;17;153
3;3;1;Gray;Smart home;Mudeo ;13.95;4;6;6;7;9;9;11;10;7;7;14;14;11;17;19;20;27;36;234
4;4;1;Blue;Telephone;Mudeo ;4.36;11;10;13;9;9;18;9;21;22;23;25;11;28;18;47;45;27;64;410
5;5;1;Red;Television;Octozzy ;5.56;13;15;21;16;26;21;24;18;31;33;39;42;31;34;56;57;71;90;638
6;1;2;Yellow;Photography;Supranu ;3.11;6;5;8;7;2;4;4;4;4;2;4;4;2;2;2;2;1;2;65
7;2;2;Green;Photography;Supranu ;9.26;16;16;16;16;7;16;16;12;13;9;8;7;9;8;5;5;4;4;187
8;3;2;Gray;Telephone;Transible ;4.92;32;23;32;25;15;17;16;21;22;24;14;9;10;7;6;8;7;3;291
9;4;2;Purple;Photography;Transible ;4.7;50;50;28;26;18;21;34;15;17;20;13;16;12;12;7;10;12;12;373
10;5;2;Brown;Sound;Transible ;1.17;96;64;88;27;36;37;42;18;16;20;25;31;15;18;17;19;19;16;604
11;1;3;Black;Telephone;Outise ;28.72;3;5;5;5;4;8;5;7;3;4;5;7;3;3;6;6;5;5;89
12;2;3;Gray;Telephone;Dynotri ;18.66;8;7;5;10;7;5;7;9;7;11;5;7;9;9;9;10;10;11;146
13;3;3;Gray;Games;Hyperive ;8.63;13;13;15;15;13;14;17;9;14;17;16;15;16;9;20;12;21;11;260
14;4;3;Blue;Games;Hyperive ;10.93;17;13;23;12;18;12;19;19;15;14;16;15;12;17;18;21;19;24;304
15;5;3;Green;Telephone;Verer ;8.77;19;29;25;31;14;31;28;21;26;37;17;28;29;15;21;23;27;35;456
16;1;1;Yellow;Kitchen;Outise ;10.91;1;2;1;2;3;2;2;4;4;3;2;3;4;6;4;6;9;8;66
17;2;1;White;Kitchen;Octozzy ;7.22;3;4;5;4;6;6;8;8;7;8;8;10;11;14;13;11;14;13;153
18;3;1;Red;Smart home;Mudeo ;10.2;6;7;9;10;11;11;12;15;14;12;16;10;26;23;18;33;26;46;305
19;4;1;Purple;Sound;Transible ;10.18;7;11;8;14;13;11;15;15;4;13;13;19;28;13;29;27;23;30;293
20;5;1;Brown;Kitchen;Octozzy ;7.24;10;12;10;19;14;18;18;14;13;22;41;35;37;48;62;62;59;58;552
21;1;2;Black;Photography;Animity ;8.08;16;10;11;10;9;6;6;9;7;5;6;4;2;4;2;4;3;2;116
22;2;2;Red;Photography;Supranu ;9.4;22;18;12;12;10;10;18;9;6;5;8;5;8;6;4;3;3;4;163
23;3;2;Orange;Tablets;Transible ;2.07;22;19;20;20;14;9;15;16;19;10;8;9;6;11;7;8;7;5;225
24;4;2;Blue;Tablets;Supranu ;5.86;13;39;22;27;30;22;16;17;15;20;13;10;16;9;7;9;2;8;295
25;5;2;Red;Telephone;Transible ;0.58;43;47;22;49;24;33;24;11;18;13;11;10;12;16;19;10;13;16;391
26;1;3;Yellow;Computers;Verer ;41.46;3;5;4;3;3;5;4;4;4;4;3;2;5;4;2;4;2;5;66
27;2;3;Black;Games;Dynotri ;29.55;6;11;8;7;10;5;7;7;7;9;7;6;9;8;8;8;7;3;133
28;3;3;Gray;Games;Verer ;5.13;14;6;21;16;17;14;12;19;14;11;13;18;20;10;16;15;14;22;272
29;4;3;Purple;Tablets;Hyperive ;6.61;14;28;26;26;21;17;26;26;27;18;20;18;22;26;13;18;26;19;391
30;5;3;Red;Telephone;Dynotri ;1.53;34;36;36;33;37;42;42;31;48;38;33;40;36;34;48;46;25;33;672
31;1;1;Black;Television;Verer ;26.09;2;3;4;4;3;4;3;6;5;9;9;9;6;10;10;7;12;10;116
32;2;1;White;Sound;Outise ;6.33;4;5;4;4;6;6;8;5;8;10;13;9;12;6;12;23;7;17;159
33;3;1;Gray;Sound;Animity ;8.42;5;6;7;6;4;6;9;12;13;10;17;14;13;10;19;13;35;46;245
34;4;1;Purple;Telephone;Animity ;1.82;7;4;12;10;7;10;10;10;20;23;17;25;25;42;48;45;54;37;406
35;5;1;Brown;Smart home;Outise ;5.41;12;12;16;15;15;15;13;11;27;17;34;39;23;32;58;37;35;25;436
36;1;2;Yellow;Tablets;Transible ;13.94;14;11;13;13;5;7;3;4;7;5;3;4;4;3;4;3;2;2;107
37;2;2;White;Accessories;Kayosis;9.26;16;11;23;18;9;11;8;9;8;11;7;8;6;6;5;3;4;5;168
38;3;2;Orange;Tablets;Supranu ;10.2;40;23;29;26;18;15;15;8;13;10;11;9;5;7;4;5;7;5;250
